Тариптыдук нунган Дефоржва аявулчан, энгкин эсилэ нунганман нгэлэвкэттэ.	С той минуты он Дефоржа полюбил и не думал уж его пробовать.	1,00
Мария Кириловна нян сотмарит ёнан.	Но случай сей произвел еще большее впечатление на Марью Кириловну.	1,00
нунган бучэвэ амакавэ ичэтчэчэн, Дефоржва, амака дагадун энэ нгэлэттэ илитчарива, ичэтчэчэн, нунганнунин улгучэмэтчэнэ.	она видела мертвого медведя и Дефоржа, спокойно стоящего над ним и спокойно с нею разговаривающего.	1,00
Тэлинунган элэ тылчэн помещикилдук-та хунгтул илэл эсивэтын нгэлэкэсил биси, тариптыдук илмактава алагумнива аят ичэчилчэн.	Она увидела, что храбрость и гордое самолюбие не исключительно принадлежат одному сословию — и с тех пор стала оказывать молодому учителю уважение.	1,00
нунганнунин улгучэмэчилчэн.	Между ими основались некоторые сношения.	1,00
Машанги аяпчу дылганин бичэн, эвивурди аят алагувдянга бичэн, Дефорж нунганман эвивурди алагудави гунэн.	Маша имела прекрасный голос и большие музыкальные способности, Дефорж вызвался давать ей уроки.	1,00
Маша нунганман сот аявулчан, мэнэкэн аявдериви энэ тэдедерэ.	Маша в него влюбилась, сама еще в том себе не признаваясь.	1,00
Элэкэсиптыду угун (октябрь) бега тырганидун, гулэсэгду Троекуроводу праздник оран.	Между тем наступило 1-е октября  -  день  храмового  праздника  в  селе Троекурова.	1,00
Матал Троекуровнгива гулэвэн дялупкира.	Комнаты  наполнились гостями.	1,00
матадыду гулэду столду дяпкундярвэ депивурвэ тэвчэл.	В зале накрывали стол на восемьдесят приборов.	1,00
матал тэгэмкирдувэр тэгэрэ.	[гости сели на стулья].	1,00
Алагумни стол мудандун, хуюкукэн Саша дагадун тэгэрэн.	На конце стола сел учитель подле маленького Саши.	1,00
Тыгэл кинггилинтын матал турэрнунтын солиптан.	Звон тарелок и ложек слился с  шумным  говором  гостей.	1,00
Тэли депкиттулэ Антон Памфутьевич Спицин, уркэли тыеденэ ирэн.	Двери отворились, и Антон Пафнутьич Спицын{{, толстый мужчина, лет пятидесяти, с круглым и рябым лицом, украшенным тройным подбородком,}} ввалился в столовую, кланяясь, улыбаясь и уже собираясь извиниться.	1,00
Тар помещик, унгкилдымэткитту гундечэ, Дубровскиил Кистеневкат хитэклэ мэндыкэтэдеривэтын.	[Тот помещик] показал, что Дубровские владеют Кистеневкою безо всякого на то права.	1,00
Нунган нгэлэтчэми, эдэви Дубровскийду тагдысинмура хутакачанми мэнгутэйвэ, хикэндуви, рубашкан догидадун, нэкчэдеритви, эчэн нгунгнэли хоктоли сурурэ, — Кистеневканги аги дагалин бичэли, тарит нунган аманничан.	[Боясь, чтобы не попасться Дубровскому,] деньги перешли в кожаную суму, которую носил он на груди под рубашкой], ехать ближним путем через Кистеневский лес {я} не осмелился, а пустился в объезд, [поэтому он опоздал].	1,00
Господин хэгдыгу, амакан-гу су Дубровскийва дявадянгасун, — Кирила Петрович гунэн, — оккакун дяваксидярас, хата эрдэлэ албадярас.	А что, поймаете хоть вы Дубровского, господин исправник. Давно, давно стараются, а проку  все-таки  нет.	1,00
Би-гу мэнэкэн дяваксилдям, эргэндук хэгдыгулдук бэлэгэе энэ алатчэрэ.	Делать нечего, видно, мне вступиться в это дело, да пойти на разбойников с моими домашними.	1,00
Хэгдыгу гунэн: Миннгиду кармандув Владимир Дубровский упкат самэлкилин биси.	[Исправник сказал]: У меня в кармане и приметы Владимира Дубровского.	1,00
Кирила Петрович гунэн, — тангкаллу долчаттав, эмчэ эру биси, бу-дэ садавун нунганнгилван самэлкилван.	Cказал Кирила Петрович, — кстати: прочтите-ка, а мы послушаем, не худо нам знать его приметы.	1,00
Эсалдулавун ичэвулми, нунган мундук этэн сучара.	авось в глаза попадется, так не вывернется.	1,00
Хэгдыгу кармандукви нянгнявчавэ бумагава урисинан, гурэкэрэн нунганман, тадук нгонимкуратчэнэ тангиллан.	Исправник вынул из кармана довольно замаранный лист бумаги, развернул его с важностию и стал читать нараспев:.	1,00
Владимир Дубровский самэлкилин, кэлумэлин илэл улгучэрдуктын дукувчал.	Приметы Владимира Дубровского, составленные по сказкам бывших его дворовых людей.	1,00
Балдынадукин аннганил, гугдан дулугу, дэрэн дучама, гургактави хусчавки, эсалин лунгимэл, нюриктэлин игдямал, онгоктон нгунгнэ.	От роду года, роста середнего, лицом чист, бороду бреет, глаза имеет карие, волосы русые, нос прямой.	1,00
Самэлкилин хунгтул: таргачир ачир".	Приметы особые: таковых не оказалось".	1,00
Тар элэтын, — гунэн Кирила Петрович.	И только, — сказал Кирила Петрович.	1,00
Элэтын, — гунэн хэгдыгу, намудяна бумагава.	Только, —отвечал исправник, складывая бумагу.	1,00
Кэнедем, хэгдыгу.	Поздравляю, г-н исправник.	1,00
Экун бумаган.	Ай да бумага.	1,00
— Эрил самэлкилдулин эимкун, Дубровскийва бакадасун.	По этим приметам немудрено будет вам отыскать Дубровского.	1,00
Нги-кэ эчэ дулугу гугдан биси, нгингил нюриктэлин эчэл игдямал биси, нгинги онгоктон эчэ нгунгнэ биси, нгингил эсалин эчэл лунгимэл биси.	Да кто же не среднего роста, у кого не русые волосы, не прямой нос, да не карие глаза.	1,00
Би тамандули муссэденгэв, си илана часила мэннунин Дубровскийнун улгучэмэтчэденгэс, этэнни хэнурэ, нгинун эксэри синэ бакалдывкача.	Бьюсь об заклад, три часа сряду будешь говорить с самим Дубровским, а не дога- даешься, с кем бог тебя свел.	1,00
Он-да энги гунэ, дяличил хэгдыгул.	Нечего сказать, умные головушки приказные.	1,00
Хэгдыгу бумагава аракукан кармандуливи сичисинэн: симуладяка, нюнгнякива девуллэн; эми-вал кэлумэл адыракакун гиркуктачал маталду аракива рюмкалдутын унгкутчэнэл.	Исправник смиренно положил в карман свою бумагу и молча принялся за гуся с капустой; между тем слуги успели уже несколько раз обойти гостей, наливая каждому его рюмку.	1,00
Эчэ, — часки гундечэн Кирила Петрович, эчэ,.	Нет, — продолжал Кирила Петрович.	1,00
би мэнэкэн онгатыв, мэннгилнунми дюмагулнунми, сурунгэтыв чангичилдула.	Делать нечего, видно, мне вступиться в это дело да пойти на разбойников с моими домашними.	1,00
Элэкэс дюрдярэ илэлэ унгденгэв, нунгартын упкатван сигикагвэ гиркудянгатын: илэл эчэл нгэлэкэсил биси, илэтыкин эмуктэл амакамидявкил — чангичилдук этэрэ амасикласина.	На первый случай отряжу человек двадцать, так они и очистят воровскую рощу; народ не трусливый, каждый в одиночку на медведя ходит — от разбойников не попятятся.	1,00
Эрил турэрдук лэпимэвэ сариви дёникса, Антон Памфутьевич ханнгуктаран.	— сказал Антон Пафнутьич, вспомня при сих словах о своем косматом знакомце.	1,00
Авгара-гу синнги амакангис, ами Кирила Петрович.	Здоров ли ваш медведь, батюшка Кирила Петрович.	1,00
— Миша гороё инивкэтчэн, — Кирила Петрович гунэн, бучэн аяпчут бунитви булэнин нгалэдукин.	Миша приказал долго жить, — отвечал Кирила Петрович,— умер славною смертью, от руки неприятеля.	1,00
Тар нунганман давдычан, — Кирила Петрович Дефоржтыки нунгнитчэчэн.	Вон его победитель, — Кирила Петрович указывал на Дефоржа.	1,00
Тадук Кирила Петрович сот урунчэденэ улгучэллэн французингин амакавэ они вадякван.	Кирила Петрович с великим удовольствием стал рассказывать подвиг своего француза.	1,00
Нунган сот аявунгкин, мэннгилви кэнедедэви.	, ибо имел счастливую способность тщеславиться всем, что только ни окружало его.	1,00
Матал аямамат долчатчэчатын улгучэн- деривэ мишангивэ бунивэн, ёнчал (гайкандечэл) бинэл Дефоржтыки ичэсингнэдечэтын.	Гости со вниманием слушали повесть о Мишиной смерти и с изумлением посматривали на Дефоржа.	1,00
Дефорж симуладяна тэгэтчэчэн, энэ надытчара нунган дярин улгучэмэтчэрилвэ.	[Дефорж]{, который,} не подозревая, что разговор шел о его храбрости, спокойно сидел на своем месте .	1,00
Иламаюва часилва девдечэл матал этэрэ девдеми, упкат илла, сурурэ матадыла залдула.	Обед, продолжавшийся около трех часов, кончился; хозяин положил салфетку на стол — все встали, и пошли в гостиную,.	1,00
X Амакан эвивун эвиллэн (гэеллэн).	Скоро загремела музыка,.	1,00
Уркэ залдула ниврэн,.	двери в залу отворились,.	1,00
сэвдепчу оллан.	[стало весело] {и бал завязался}.	1,00
Алагумни упкаттук кэтэтмэрит икэндечэн, упкат хунил икэлдэвэр нунганман синмангкитын.	Учитель между всеми отличался, он танцовал более всех, все барышни выбирали его.	1,00
Адыракакун нунган Мария Кириловнанун хоролдёчон.	Несколько раз кружился он с Марьей Кирилловною,.	1,00
Тэли хунил инектэденэл, нунгарватын сипкитчачатын.	и барышни насмешливо за ними примечали.	1,00
Тадук долбони дулмаюдун дэручэ нюнгэ икэрвэ этэвкэнэн.	Наконец около полуночи усталый хозяин прекратил танцы,.	1,00
Матал акичилдулавэр сурувэчиллэ.	Гости {{стали прощаться между собою, и}} каждый отправился в комнату, ему назначенную.	1,00
Антон Памфутьевич алагумнинун асиннасинан.	А Антон Пафнутьич пошел с учителем во флигель.	1,00
Долбони хактырмама бичэн.	Ночь была темная.	1,00
Дефорж дюлэли хевутчана нгэнэдечэн.	Дефорж освещал дорогу фонарем.	1,00
Антон Памфутьевич амарду нгэнэдечэн, хадылдун дяявчавэ хутакачанми мэнгутэйвэ хикэнтыкиви тырэтчэнэ, тэдедэви таду мэнгуннгилви бисивэтын.	Антон Пафнутьич шел за ним довольно бодро, прижимая изредка к груди потаенную суму, дабы удостовериться, что деньги его еще при нем.	1,00
Акиттула эмэксэл, алагумни тогово нуллан, дюктэ тэтыгэлвэр лукилла.	Пришедши во флигель, учитель засветил свечу, и оба стали раздеваться.	1,00
Сэктэвуртын хэсэ бичэтын, дюктэ асинэ, алагумни тогово сирэн.	Постели их стояли одна против другой, оба легли, и учитель потушил свечу.	1,00
Алагумни амакан коктыриллан.	Француз вскоре захрапел.	1,00
„Коктыридяран харги француз, — дялдуви гунэн Антон Памфутьевич, — минду амив эчэ дялдулав эмэдерэ тара алатчэкэл — деромисал нивчэли уркэли-вэл, окошколи-вал иденгэтын, нунганман харгива пушкалди этэнни сэриврэ“.	„Храпит бестия француз, — подумал Антон Пафнутьич,— а мне так сон и в ум нейдет — того и гляди воры войдут в открытые двери или влезут в окно — а его, бестию, и пушками не добудишься".	1,00
Дэруксил, араки нгэлэкэсвэн давдылла — нунган аракукан эркичиллэн, тадук амакан амин нунганман давдыран.	Усталость и винные пары мало-по-малу превозмогли его боязливость — он стал дремать, и вскоре глубокий сон овладел им совершенно.	1,00
Он-ка нунган меллан.	Странное готовилось ему пробуждение.	1,00
Адена, нунган мэдэдечэн — нги-вэл аракукан рубашкадукин тандечан.	Он чувствовал, сквозь сон, что кто-то тихонько дергал его за ворот рубашки.	1,00
Антон Памфутьевич эсалви турарэн.	Антон Пафнутьич открыл глаза.	1,00
болонинги тымани нгэридук дюлэдуви алагумнива ичэрэн.	и при бледном свете осеннего утра увидел перед собою Дефоржа.	1,00
Нунган умукэнду нгалэдуви нгалэдыва пэктырэвунмэ дявучадячан, гетви нгалэтви хутакачанман уйгэлгэдечэн.	француз в одной руке держал карманный пистолет, а другою отстегивал заветную суму.	1,00
Антон Памфутьевич бунигэчин оран.	Антон Пафнутьич обмер.	1,00
Аракун, симулакал, — алагумни гунэн русскаит турэнди,— симулакал-гу, буделинни-гу.	— Тише, молчать, — отвечал учитель чистым русским языком,—молчать или вы пропали.	1,00
Би Дубровский бисим.	Я — Дубровский.	1,00
Эситкэн тангдяридук гэлэдерэв улгучэндэвэр он упкат ючава.	Теперь попросим у читателя позволения объяснить последние происшествия повести нашей.	1,00
Станцияду (агичэкитту), хэривчэмни гулэдун оннганду нгэнэ тэгэтчэчэн, нунган мурира алатчэчан.	На станции**, в доме смотрителя, сидел в углу проезжий [он ждал лошадей].	1,00
Умнэт тулигидэду толгокичил мурир илла.	Коляска остановилась у крыльца.	1,00
Кэлумэ толгокидук микчанэн, уркэвэ нирэн, тэлиннгэ илмакта илэ, военнай сучи, багдама авучи станциянгила хэривчэмнилэ ирэн.	Слуга соскочил с козел—отпер дверцы, и через минуту молодой человек в военной шинеле и в белой фуражке вошел к смотрителю.	1,00
Амариннгадун кэлумэн авсаканмэ иврэн, иливран нунганман окошкаду.	— вслед за ним слуга внес шкатулку и поставил ее на окошко.	1,00
Мурира, — тар бэе ипкэрэн.	Лошадей, — сказал офицер повелительным голосом.	1,00
Станцияду хэривчэмни хаваталлэн, мэнивуллэн нгэнэвуктэмнилвэ.	Смотритель засуетился и кинулся торопить ямщиков.	1,00
Илмакта илэ дюлэскиви, амаскиви гулэли гиркукталлан, тадук, станцияду хэривчэмни асилан дагамакса, аракукан ханнгуктаран: — "нги тар нгэнэ".	Молодой человек стал расхаживать взад и вперед по комнате, зашел за перегородку и спросил тихо у смотрительши: кто такой проезжий.	1,00
„Авады-вал француз" — хэривчэмни асин гунэн.	отвечала смотрительша, — какой-то француз.	1,00
Илмакта илэ французтыт турэнди эмэчэнун французнун улгучэмэчиллэн.	Молодой человек заговорил с проезжим по-французски.	1,00
Илэ си нгэнэденни?	Куда изволите вы ехать?	1,00
— илмакта илэ ханнгуктаран нунгандукин.	— спросил он его.	1,00
Троекуровдула, — француз гунэн, — би адыкунма аява тылчэв нунган дярин.	К г-ну Троекурову, — отвечал француз, — я слыхал о нем мало доброго.	1,00
Эми-вал нунган иланма тысячалва рублилва аннганиду тамамудяран, тадук депивун упкачин нунганнгин.	Он предлагает мне хорошее жалование, три тысячи рублей в год и все готовое.	1,00
Миннги энинми атыркан: хавалнадукви мэнгурдук дулинматын нунгандулан унгичилденгэв депивурэн.	У меня старушка мать, половину жалования буду отсылать ей на пропитание,.	1,00
Хадуктын туннгаду аннганилду умивдянгав байви, элэкинденгэе, энэ хавалла бидедэв, тадук Парижтула суруденгэв".	из остальных денег в пять лет могу скопить маленький капитал, доста- точный для будущей моей независимости, — и тогда еду в Париж.	1,00
Сарэн-гу нги-вэл синэ Троекуров гулэдун.	Знает ли вас кто-нибудь в доме Троекурова.	1,00
— офицер ханнгуктаран.	— спросил он.	1,00
Нги-дэ эчэ сарэ, — гунэн алагумни, — нунган минэ Москвадук эмэвкэнэн, гиркин бэлэгэдин".	Никто, — отвечал учитель,—меня он выписал из Москвы через одного из своих приятелей.	1,00
— Офицер дялдачиллан.	Офицер задумался.	1,00
Долчаткэл.	Послушайте.	1,00
Они-ка бимчэ, синду дянэ тысячала рублила мэнгурди бучиллэктын, эсиннгэ амаскиви Парижтула сурудэс.	что если бы вместо этой будущности предложили вам чистыми деньгами, с тем, чтоб сей же час отправились обратно в Париж.	1,00
Би эчэв мэнэ гундерэ, би синду бумчэв;.	Я не шучу,{{ — продолжал он по-французски, — десять тысяч}} могу я вам дать,.	1,00
би элэ гэлэдем, си эду ачин бидэс, тадук мэннгилви бумагангилви будэс.	мне нужно только ваше отсутствие и ваши бумаги.	1,00
Француз эсалви бултэкэрэн.	Француз вытаращил глаза.	1,00
Нунган эчэн сарэ, эя гундэви.	Он не знал, что и думать.	1,00
Эр миннгил бумагангилви, си мэнэ гунденни.	вот мои бумаги, но вы шутите:.	1,00
Эда синду миннгил бумагангилви.	зачем вам мои бумаги.	1,00
Си энгэтыс тара сарэ, би ханнгуктадям, буденни-гу, этэнни-гу.	Вам дела нет до того. Спрашиваю, согласны вы или нет.	1,00
Француз хата энэ тэдедерэ, илмактаду илэду мэннгилви бумагангилви аливран.	Француз, всё еще не веря своим ушам, протянул бумаги свои молодому офицеру.	1,00
Тарингин хэлинди ичэтмэлчэрэн.	Тот {который} быстро их пересмотрел.	1,00
Эр синду мэнгур, нгэнэдекэл амаскиви.	Ну вот же вам ваши деньги, отправляйтесь назад.	1,00
Гукэл минтыки тонгкоё турэнэви, гуннэ — эрэ упкатван мит элэ дюктэ сагат.	дайте мне честное слово, что всё это останется между нами — честное ваше слово.	1,00
Тэде миннги турэнми, — гунэн француз, —.	Честное мое слово, — отвечал француз.	1,00
 миннгил бумагангилви.	— Но мои бумаги, .	1,00
Эя онгатыв би нунгартын ачирдутын.	что мне делать без них.	1,00
Ноноптыду городту гунденгэс Дубровскийду тагдывчави.	В первом городе объявите, что вы были ограблены Дубровским.	1,00
Синэ тэдеденгэтын, синду буденгэтын гэлэвдерилэ бумагала.	Вам поверят и дадут нужные свидетельства.	1,00
Авгарат бикэл.	Прощайте.	1,00
Эксэри синду бэлэгин, амакан Парижтула истас, бакадас авгарава энинми.	дай бог вам скорее доехать до Парижа и найти матушку в добром здоровьи.	1,00
Дубровский гулэдук юрэн, толгокиду тэгэксэ мурирди хуктывусинэн.	Дубровский вышел из комнаты, сел в коляску и поскакал.	1,00
Станцияду хэривчэмни окошкали ичэтчэчэн, толгоки халчалан, аситкиви екэсчэнэ гунэн: Пахомовна, санни-гу эва.	Смотритель смотрел в окошко, и когда коляска уехала, обратился к жене с восклицанием: — Пахомовна, знаешь ли ты что.	1,00
Тар Дубровский бичэн.	ведь это был Дубровский.	1,00
Асин хэлинчэденэ туксанчаран окошкола, аманниран, Дубровский городу нгэнэдечэн.	Смотрительша опрометью кинулась в окошко, но было уже поздно — Дубровский был уж далеко.	1,00
Дубровский, французнгилва бумагангилван ичэчиксэ, энэ нгэлэттэ Троекуровдула эмэрэн, нунганнгидун гулэдун биллэн.	Дубровский, овладев бумагами француза, смело явился, как мы уж видели, к Троекурову и поселился в его доме.	1,00
Праздник одалан, алагумнит гэрбичивденэ билнэдукин бегамаю илтэнчэн, нги-дэ энгкин надытта дулумну илмакта француз неливсипчу чангит бисивэн.	Прошло около месяца от его вступления в звание учительское до достопамятного празднества, и никто не подозревал, что в скромном молодом французе таился грозный разбойник,.	1,00
Тар чангит гэрбин упкатва мурэли бидерилвэ нгэлэвкэтчэчэн.	коего имя наводило ужас на всех окрестных владельцев.	1,00
Умукэнду акитту илэнун, мэннгитви булэндиви тангичадяринунми аннгэтчэнэ, Дубровский албачан мангичадями.	Ночуя в одной комнате с человеком, коего мог он почесть личным своим врагом и одним из главных виновников его бедствия,—Дубровский не мог удержаться от искушения.	1,00
Нунган сачан мэнгурукин хутакачанин бисивэн, дялдачан, тагдысиндави нунганман.	Он знал о существовании сумки и решился ею завладеть.	1,00
Мит ичэчэт, они нунган ёнмуканчан сингнипчувэ Антон Памфутьевичва, алагумникла чангит онатви.	Мы видели, как изумил он бедного Антона Пафнутьича неожиданным своим превращением из учителей в разбойники.	1,00
Тыматнэ, егинду часилду, Покровскоеду бикитту аннгэтчэчал матал, амарултат умутэтыкинди матадыла гулэлэ эмэвэттэ.	В десять часов утра гости, ночевавшие в Покровском, собралися один за другим в гостиной,.	1,00
Таду самовар хуюдечэн, тыманисик тэтыгэчи бинэ, Мария Кириловна таду тэгэтчэчэн, Кирила Петрович нян сулэн, олотлон бинэ, барандук чонгтокодукви умдячан.	там {где} кипел уже самовар, перед которым в утреннем платье сидела Марья Кириловна, — а Кирила Петрович в байковом сертуке и в туфлях выпивал свою широкую чашку, похожую на полоскательную.	1,00
Антон Памфутьевич упкаттук амаргут эмэчэн.	Последним явился Антон Пафнутьич.	1,00
Нунган упкачин хэпкэрэчэ бичэн.	он был так бледен и казался так расстроен.	1,00
Нунганман ичэми упкат ёнчатын, Кирила Петрович ханнгуктачан авгараван.	; , что вид его всех поразил, и что Кирила Петрович осведомился о его здоровии.	1,00
Спицин энгит тыливрэ гундечэн, нгэлэтчэнэ ичэсингнэдечэн алагумнива, тариннгаду тэгэтчэривэ энэгэчин эя-да сарэ.	Спицын отвечал безо всякого смысла и с ужасом поглядывал на учителя, который тут же сидел, как ни в чем не бывало.	1,00
Ады-вал минутал илтэчэлэтын, кэлумэ ичэн, Спицинтыки гучэн толгоки алатчэриван.	Через несколько минут слуга вошел и объявил Спицыну, что коляска его готова.	1,00
Антон Памфутьевич унгкерочан упкаттыки, ючэн хэлинчэденэ, бокичивдяна-вал, тэлиннгэ суручэн.	Антон Пафнутьич спешил откланяться и несмотря на увещания хозяина вышел поспешно из комнаты и тотчас уехал.	1,00
Упкат эчэтын сарэ, эт нунган туги бинэвэн.	Не понимали, что с ним сделалось,.	1,00
Кирила Петрович дялдачан гуннэ — нунган энгэни девчэ.	и Кирила Петрович решил, что он объелся.	1,00
Чайтыксал, амакан упкат матал сурувэчиллэ дюлдулавэр, амакан Покровское чэрумэ оран, упкачин хатаптыгачин оран.	После чаю и прощального завтрака прочие гости начали разъезжаться, вскоре Покровское опустело, и всё вошло в обыкновенный порядок.	1,00
Ады-вал тырганил илтэнэ, омакта улгур ачин бичэн.	Прошло несколько дней, и не случилось ничего достопримечательного.	1,00
Кирила Петрович тырганитыкинду бэюмиденгкин;.	Кирила Петрович ежедневно выезжал на охоту;	1,00
Мария Кириловна гиркудянгкин, тангдянгкин, эвивурди алагувдянгкин.	чтение, прогулки и музыкальные уроки занимали Марью Кириловну — особенно музыкальные уроки.	1,00
Нунган Дефорж ачиндун буливсинденгкин.	Она скучала без Дефоржа.	1,00
Дефорж бидерэкин, эвиденгкин нунганнунин, упкатва нунгандукин самудянгкин, окин-нун нунганнунин умукэнду дялду бингкин.	в его присутствии поминутно занималась им, обо всем хотела знать его мнение и всегда с ним соглашалась.	1,00
Умнэ хэгдылэ комнатала, зал гэрбичилэ эмэрэн, таду алатчэчан нунганман алагумнин.	Однажды, пришед в залу, где ожидал ее учитель.	1,00
Мария Кириловна ала гумниви дэрэлин тагчан эты-вал халдеча (карача) бисивэн.	, Марья Кириловна с изумлением заметила смущение на бледном его лице.	1,00
Нунган амакакан давларэн, эми-вал гунденэ дылви энудеривэн, Дубровский уроква этэрэн, далдяна давлавурвэ, нунгандун дукувунма дяюкатчэнэ аливран.	Она {{открыла фортепьяно,}} пропела несколько нот, но Дубровский под предлогом головной боли извинился, прервал урок и, закрывая ноты, подал ей украдкою записку.	1,00
Мария Кириловна акиттулави сурурэн, дукувунми гурэкэрэн, тангнан эрэвэ: "Эси-тырга, наданду часилду эмэкэл тэгэчимкиндулэ биракачанду, би синнун улгучэмэтнгэтыв".	Марья Кириловна пошла в свою комнату, развернула записку и прочла следующее: "Будьте сегодня в семь часов в беседке у ручья. Мне необходимо с вами говорить".	1,00
Нунган сот самудечан, — экунма улгучэмэтмудеривэн.	Любопытство ее было сильно возбуждено.	1,00
Нунган аран алатчэчан ичэлдымэчинмэр тэрува, кэтэрэ часива ичэсингнэдечэн.	Между тем она поминутно поглядывала на часы.	1,00
Хактыр олдячан, хевулва нулла.	Смерилось, подали свеч.	1,00
Кирила Петрович тэгэрэн, эмэмэктэлнул матакилнунми картылди эвиллэн.	Кирила Петрович сел играть в бостон с приезжими соседями.	1,00
Депкитту часил дыгиндяр туннгава минуталва надылатын кинггилбура, — Мария Кириловна аракукан тулигидэлэ юрэн, мурэли дариски ичэттэн, тадук ичэлдымэчиндулэвэр туксасинан.	Столовые часы пробили третью четверть седьмого — и Марья Кириловна тихонько вышла на крыльцо — огляделась во все стороны и побежала в сад.	1,00
Долбони хактырапчу бичэн, нянгня туксулди куптувча бичэн,—дюрду гиракталду мэндукви эя-да энги ичэрэ бичэн.	Ночь была темна, небо покрыто тучами — в двух шагах от себя нельзя было ничего видеть,.	1,00
Мария Кириловна хактырду-вал нгэнэдечэн сарилдуливи хоктокордули, амакан тэгэчимкинмэ исчан.	но Марья Кириловна шла в темноте по знакомым дорожкам и через минуту очутилась у беседки;	1,00
Таду нунган илчан, дэрумкичэксэ, энэ хэлинчэрэ Дефорждула эмэдэви.	Тут остановилась она, дабы перевести дух и явиться перед Дефоржем с видом равнодушным и неторопливым.	1,00
Эми-вал, Дефорж тариннгаду илитчачан.	Но Дефорж стоял уже перед нею.	1,00
Кэнедем синэ долдычаналис эмэвкэтнэвэв, — нунган хивиндярит дылганди аракукан гунэн.	Благодарю вас, —сказал он ей тихим и печальным голосом,—что вы не отказали мне в моей просьбе.	1,00
— Би сот тыкулча бимчэв, эчэ бисикис долдычара.	Я был бы в отчаянии, если б вы на то не согласились.	1,00
Би часки эду энгэтыв биси.	Обстоятельства требуют… [чтобы я уехал].	1,00
би синэ эмэннгэтыв, си амакан тылденгэс.	я должен вас оставить, вы скоро, может быть, услышите.	1,00
эделивэр хэрэкэлтэрэ, би синнун улгучэмэтмудем.	Но перед разлукой я должен с вами сам объясниться.	1,00
Мария Кириловна эя-да эчэн гундерэ.	Марья Кириловна не отвечала ничего.	1,00
Би эчэв си алатчэрис биси, — часки нунган гундечэн дылви унгкикэчэ бинэ, — би эчэв француз Дефорж, биси би Дубровский бисим.	Я не то, что вы предполагаете, — продолжал он, потупя голову, — я не француз Дефорж, я Дубровский.	1,00
Мария Кириловна екэсинэн.	Марья Кириловна вскрикнула.	1,00
Экэл нгэлэттэ, си энгэтыс нгэлэттэ миннгит гэрбидив.	Не бойтесь, ради бога, вы не должны бояться моего имени.	1,00
Э, би — тар кутуя ачин илэ бисим, миндук аминни колобонгмов тагдысинчан, эрэсчэн аминнгидукив гулэдукин, унгчэн, хэгдылду хоктолду тагдыдядав.	Да, я тот несчастный, которого ваш отец лишил куска хлеба, выгнал из отеческого дома и послал грабить на больших дорогах.	1,00
Эми-вал, мэниклэви-вэл, амиклави-вал си минди энгэтыс нгэлэттэ.	Но вам не надобно меня бояться — ни за себя, ни за него.	1,00
Упкачин манавча.	Всё кончено.	1,00
Би аминмас сингнинчэв.	Я ему простил.	1,00
Долчаткэл, си дярис нунганман сингнинчэв.	Послушайте, вы спасли его.	1,00
Би гулэсун дагалин гиркудячав ичэтчэнэ, иду куродан бадара, иргит ивкэ нунганнгилан акиттулан, они даливка упкатва хоктолвон, эдэн юрэ.	Я ходил около его дома, назначая, где вспыхнуть пожару, откуда войти в его спальню, как пресечь ему все пути к бегству.	1,00
Тэли си нгэнэчэс минэ илтэмнэк, миннги меванми асакичигачин очан, — тэли би элэ тылчэв, нги-дэ, синнун умукэнди сэксэт уилдычэдери, энгэтын миндук эруе ичэрэ.	В ту минуту вы прошли мимо меня, как небесное видение, и сердце мое смирилось,— я понял, что дом, где обитаете вы, священ, что ни единое существо, связанное с вами узами крови, не подлежит моему проклятию.	1,00
Би тэли этэчэв тыкундями.	Я отказался от мщения{{, как от безумства}}.	1,00
Би тырганилва куктэлвэтын Покровское мосалин дагалитын гиркуктангкив, синнгивэ багдамава тэтыгэвэс горогит ичэдэви.	Целые дни я бродил около садов Покровского в надежде увидеть издали ваше белое платье.	1,00
Би суннгиду дюдусун билчэв.	Я поселился в вашем доме.	1,00
Тарил илан надаллал— кутучил тырганил бичэтын би дярив.	Эти три недели были для меня днями счастия —.	1,00
Эрупчудук бододукив тарил тырганил аят дёнчавдянгатын.	их воспоминание будет отрадою печальной моей жизни.	1,00
Эси би тылчэв улгурвэ, тарит би эду гороё энгэтыв бидерэ.	Сегодня я получил известие, после которого мне невозможно долее здесь оставаться.	1,00
Би эси-тырга синнун хуетчэлим… эсиннгэ….	Я расстаюсь с вами сегодня… сей же час….	1,00
